Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,94.65,95.55,94.65,95.4,26967
2023-12-11 09:20:00,95.4,95.75,95.15,95.75,14679
2023-12-11 09:25:00,95.75,96.3,95.65,96.0,46066
2023-12-11 09:30:00,96.0,96.3,95.8,95.8,12304
2023-12-11 09:35:00,95.8,97.2,95.35,97.2,71049
2023-12-11 09:40:00,97.05,97.05,96.35,96.45,27518
2023-12-11 09:45:00,96.45,96.95,96.35,96.5,28379
2023-12-11 09:50:00,96.5,96.9,96.3,96.35,16996
2023-12-11 09:55:00,96.35,96.55,96.1,96.25,8571
2023-12-11 10:00:00,96.25,96.3,95.75,95.75,8366
2023-12-11 10:05:00,95.75,95.85,95.55,95.85,14093
2023-12-11 10:10:00,95.85,95.9,95.55,95.75,5135
2023-12-11 10:15:00,95.75,95.8,95.55,95.75,7906
2023-12-11 10:20:00,95.75,95.75,95.55,95.7,1058
2023-12-11 10:25:00,95.7,95.7,95.55,95.55,1560
2023-12-11 10:30:00,95.55,95.9,95.55,95.9,9442
2023-12-11 10:35:00,95.9,96.2,95.9,95.95,13102
2023-12-11 10:40:00,95.95,96.15,95.55,95.55,6182
2023-12-11 10:45:00,95.55,95.75,95.55,95.55,1697
2023-12-11 10:50:00,95.55,95.7,95.45,95.45,4106
2023-12-11 10:55:00,95.3,95.5,95.2,95.4,5807
2023-12-11 11:00:00,95.4,95.4,95.25,95.25,1761
2023-12-11 11:05:00,95.25,95.4,95.1,95.35,5970
2023-12-11 11:10:00,95.1,95.35,95.1,95.35,1471
2023-12-11 11:15:00,95.35,95.6,95.1,95.6,8534
2023-12-11 11:20:00,95.6,95.75,95.3,95.3,8319
2023-12-11 11:25:00,95.3,95.4,95.2,95.4,2539
2023-12-11 11:30:00,95.4,95.45,95.25,95.25,1768
2023-12-11 11:35:00,95.25,95.5,95.25,95.4,5701
2023-12-11 11:40:00,95.4,95.4,95.3,95.3,568
2023-12-11 11:45:00,95.3,95.3,95.15,95.15,2686
2023-12-11 11:50:00,95.15,95.3,95.0,95.2,13252
2023-12-11 11:55:00,95.2,95.3,95.2,95.2,296
2023-12-11 12:00:00,95.2,95.4,95.2,95.4,2048
2023-12-11 12:05:00,95.4,95.45,95.25,95.25,2485
2023-12-11 12:10:00,95.4,95.65,95.4,95.55,5869
2023-12-11 12:15:00,95.55,95.7,95.55,95.7,654
2023-12-11 12:20:00,95.7,95.7,95.55,95.7,1319
2023-12-11 12:25:00,95.7,95.75,95.6,95.75,432
2023-12-11 12:30:00,95.75,95.75,95.65,95.65,1176
2023-12-11 12:35:00,95.65,95.65,95.5,95.65,1408
2023-12-11 12:40:00,95.65,95.7,95.55,95.55,806
2023-12-11 12:45:00,95.55,95.75,95.55,95.6,1538
2023-12-11 12:50:00,95.6,95.75,95.5,95.75,1360
2023-12-11 12:55:00,95.75,95.75,95.5,95.75,7738
2023-12-11 13:00:00,95.75,95.75,95.65,95.65,1433
2023-12-11 13:05:00,95.6,95.7,95.55,95.55,3194
2023-12-11 13:10:00,95.55,95.75,95.55,95.65,1607
2023-12-11 13:15:00,95.65,95.85,95.65,95.85,2048
2023-12-11 13:20:00,95.85,95.85,95.55,95.6,2205
2023-12-11 13:25:00,95.6,95.85,95.55,95.8,4600
2023-12-11 13:30:00,95.7,95.8,95.7,95.8,605
2023-12-11 13:35:00,95.8,95.9,95.7,95.75,2321
2023-12-11 13:40:00,95.75,95.85,95.7,95.85,1605
2023-12-11 13:45:00,95.7,95.85,95.7,95.7,1061
2023-12-11 13:50:00,95.7,95.75,95.7,95.7,1552
2023-12-11 13:55:00,95.75,95.75,95.6,95.6,17
2023-12-11 14:00:00,95.75,95.8,95.65,95.8,464
2023-12-11 14:05:00,95.8,95.8,95.65,95.8,552
2023-12-11 14:10:00,95.8,95.8,95.6,95.6,1992
2023-12-11 14:15:00,95.6,95.75,95.6,95.75,440
2023-12-11 14:20:00,95.7,95.75,95.6,95.6,3881
2023-12-11 14:25:00,95.6,95.85,95.6,95.6,3672
2023-12-11 14:30:00,95.6,95.8,95.6,95.65,1347
2023-12-11 14:35:00,95.65,95.85,95.65,95.85,1639
2023-12-11 14:40:00,95.85,95.9,95.7,95.75,6648
2023-12-11 14:45:00,95.85,95.85,95.5,95.5,4476
2023-12-11 14:50:00,95.5,95.75,95.5,95.65,5141
2023-12-11 14:55:00,95.65,95.8,95.65,95.8,1729
2023-12-11 15:00:00,95.8,95.85,95.65,95.8,5479
2023-12-11 15:05:00,95.8,95.8,95.55,95.75,13238
2023-12-11 15:10:00,95.75,95.75,95.5,95.65,2476
2023-12-11 15:15:00,95.65,95.65,95.1,95.35,19810
2023-12-11 15:20:00,95.35,95.5,95.25,95.3,12635
2023-12-11 15:25:00,95.3,95.45,95.05,95.1,14548
2023-12-12 09:15:00,96.1,96.7,95.45,96.3,31478
2023-12-12 09:20:00,96.25,96.4,95.65,96.4,30101
2023-12-12 09:25:00,96.4,96.4,95.65,95.85,16182
2023-12-12 09:30:00,95.85,96.0,95.4,95.45,14576
2023-12-12 09:35:00,95.45,95.65,94.85,94.85,18730
2023-12-12 09:40:00,94.85,95.4,94.8,95.2,9940
2023-12-12 09:45:00,95.2,95.65,95.1,95.6,14799
2023-12-12 09:50:00,95.6,95.7,95.25,95.25,9713
2023-12-12 09:55:00,95.25,95.7,95.0,95.55,28056
2023-12-12 10:00:00,95.55,95.65,95.5,95.6,1129
2023-12-12 10:05:00,95.6,95.85,95.6,95.75,6051
2023-12-12 10:10:00,95.75,96.05,95.75,95.8,3679
2023-12-12 10:15:00,95.8,95.95,95.15,95.4,15897
2023-12-12 10:20:00,95.4,95.4,94.95,95.2,3111
2023-12-12 10:25:00,95.2,95.2,94.6,94.6,9450
2023-12-12 10:30:00,94.6,95.15,94.6,94.65,26899
2023-12-12 10:35:00,94.85,95.0,94.8,94.95,3922
2023-12-12 10:40:00,94.95,95.0,94.6,94.8,3388
2023-12-12 10:45:00,94.95,94.95,94.5,94.6,12483
2023-12-12 10:50:00,94.8,95.3,94.6,95.3,29903
2023-12-12 10:55:00,95.3,95.4,95.2,95.4,2544
2023-12-12 11:00:00,95.4,95.4,95.3,95.3,1411
2023-12-12 11:05:00,95.3,95.45,95.3,95.3,4922
2023-12-12 11:10:00,95.3,95.45,95.3,95.35,242
2023-12-12 11:15:00,95.35,95.4,94.95,94.95,6225
2023-12-12 11:20:00,94.95,95.0,94.8,94.85,637
2023-12-12 11:25:00,94.85,95.0,94.85,95.0,260
2023-12-12 11:30:00,95.0,95.0,94.85,95.0,1189
2023-12-12 11:35:00,94.85,95.05,94.85,95.0,2421
2023-12-12 11:40:00,95.0,95.15,95.0,95.1,3282
2023-12-12 11:45:00,95.1,95.25,95.05,95.05,559
2023-12-12 11:50:00,95.05,95.15,95.0,95.15,896
2023-12-12 11:55:00,95.15,95.15,94.85,94.95,5120
2023-12-12 12:00:00,94.95,95.1,94.95,94.95,2604
2023-12-12 12:05:00,94.95,95.15,94.95,94.95,1652
2023-12-12 12:10:00,94.95,95.05,94.9,95.05,586
2023-12-12 12:15:00,95.0,95.0,94.75,94.8,3307
2023-12-12 12:20:00,94.9,94.95,94.8,94.8,4517
