Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,90.9,91.55,90.7,91.0,20231
2023-12-11 09:20:00,91.0,92.6,90.7,92.45,45122
2023-12-11 09:25:00,92.45,92.6,92.0,92.0,30971
2023-12-11 09:30:00,92.0,92.15,91.7,92.1,12596
2023-12-11 09:35:00,92.05,92.6,91.95,91.95,16165
2023-12-11 09:40:00,91.95,91.95,91.65,91.8,3047
2023-12-11 09:45:00,91.8,91.8,91.55,91.7,1499
2023-12-11 09:50:00,91.7,91.85,91.35,91.35,13643
2023-12-11 09:55:00,91.35,92.05,91.35,91.75,15184
2023-12-11 10:00:00,91.75,91.9,91.6,91.6,1947
2023-12-11 10:05:00,91.6,91.75,91.5,91.75,1510
2023-12-11 10:10:00,91.75,91.8,91.5,91.8,5409
2023-12-11 10:15:00,91.8,91.85,91.35,91.45,3003
2023-12-11 10:20:00,91.45,91.5,91.3,91.4,1545
2023-12-11 10:25:00,91.3,91.45,91.25,91.45,2461
2023-12-11 10:30:00,91.45,91.7,91.4,91.6,1524
2023-12-11 10:35:00,91.6,91.6,91.2,91.2,2163
2023-12-11 10:40:00,91.2,91.2,90.8,91.1,6381
2023-12-11 10:45:00,91.1,91.35,91.05,91.35,1055
2023-12-11 10:50:00,91.35,91.35,91.0,91.2,7378
2023-12-11 10:55:00,91.2,91.45,91.2,91.35,1306
2023-12-11 11:00:00,91.35,91.5,91.3,91.35,654
2023-12-11 11:05:00,91.35,91.35,91.15,91.25,2951
2023-12-11 11:10:00,91.25,91.25,91.0,91.0,100
2023-12-11 11:15:00,91.0,91.25,91.0,91.25,1304
2023-12-11 11:20:00,91.0,91.05,90.9,91.05,3312
2023-12-11 11:25:00,91.05,91.15,91.0,91.1,3021
2023-12-11 11:30:00,91.05,91.1,90.9,90.9,961
2023-12-11 11:35:00,91.05,91.35,91.05,91.25,20237
2023-12-11 11:40:00,91.25,91.35,91.2,91.3,2004
2023-12-11 11:45:00,91.15,91.25,91.15,91.15,331
2023-12-11 11:50:00,91.15,91.15,91.0,91.1,1101
2023-12-11 11:55:00,91.1,91.1,90.9,91.05,954
2023-12-11 12:00:00,91.05,91.15,91.0,91.15,1343
2023-12-11 12:05:00,91.3,91.5,91.15,91.3,1089
2023-12-11 12:10:00,91.3,91.4,91.25,91.4,637
2023-12-11 12:15:00,91.4,91.4,91.2,91.2,1070
2023-12-11 12:20:00,91.2,91.25,91.0,91.1,3453
