Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,352.0,356.8,349.0,355.0,1756
2023-12-11 09:20:00,350.0,355.0,350.0,354.9,336
2023-12-11 09:25:00,354.9,354.9,354.0,354.0,144
2023-12-11 09:30:00,354.0,354.0,350.1,352.0,668
2023-12-11 09:35:00,352.0,352.0,350.05,352.0,720
2023-12-11 09:40:00,352.0,353.55,351.0,351.0,704
2023-12-11 09:45:00,351.0,353.5,351.0,352.0,411
2023-12-11 09:50:00,352.0,353.5,351.0,353.5,772
2023-12-11 09:55:00,353.5,353.5,351.0,352.9,418
2023-12-11 10:00:00,352.0,352.95,350.15,352.5,396
2023-12-11 10:05:00,352.5,352.9,351.0,352.9,665
2023-12-11 10:10:00,352.9,352.9,351.0,352.9,393
2023-12-11 10:15:00,352.9,352.9,350.15,352.8,616
2023-12-11 10:20:00,352.85,352.85,352.8,352.85,237
2023-12-11 10:25:00,350.2,352.85,350.2,352.8,91
2023-12-11 10:30:00,352.8,352.8,350.2,352.8,1243
2023-12-11 10:35:00,352.8,352.8,350.2,352.45,385
2023-12-11 10:40:00,352.45,352.75,350.45,352.5,129
2023-12-11 10:45:00,352.5,352.8,349.0,349.5,2952
2023-12-11 10:50:00,349.5,352.8,349.2,352.7,143
2023-12-11 10:55:00,352.7,352.7,350.05,352.7,134
2023-12-11 11:00:00,352.7,352.7,349.0,349.0,1162
2023-12-11 11:05:00,349.0,352.35,349.0,352.35,427
2023-12-11 11:10:00,352.35,352.35,349.1,352.0,767
2023-12-11 11:15:00,352.0,352.0,351.4,351.4,43
2023-12-11 11:20:00,351.4,351.4,349.15,349.15,425
2023-12-11 11:25:00,349.15,350.95,349.15,350.95,296
2023-12-11 11:30:00,349.15,351.0,349.1,349.1,314
2023-12-11 11:35:00,351.0,351.0,349.1,351.0,374
2023-12-11 11:40:00,351.0,351.0,349.15,350.9,38
2023-12-11 11:45:00,350.9,350.9,350.2,350.9,193
2023-12-11 11:50:00,350.9,350.9,350.2,350.2,146
2023-12-11 11:55:00,350.0,350.9,350.0,350.9,128
2023-12-11 12:00:00,350.9,350.9,350.35,350.8,59
2023-12-11 12:05:00,350.8,350.8,349.15,350.8,338
2023-12-11 12:10:00,350.8,350.8,349.15,349.15,88
2023-12-11 12:15:00,349.15,350.8,349.15,349.5,57
2023-12-11 12:20:00,349.5,350.8,349.1,349.1,552
2023-12-11 12:25:00,349.1,350.75,349.1,350.5,231
2023-12-11 12:30:00,350.5,350.5,350.05,350.5,55
2023-12-11 12:35:00,350.5,350.5,349.1,350.45,158
2023-12-11 12:40:00,350.45,350.45,349.1,350.4,404
2023-12-11 12:45:00,350.4,350.4,349.15,350.3,56
2023-12-11 12:50:00,350.3,350.3,349.1,349.1,421
2023-12-11 12:55:00,350.3,350.3,349.0,349.0,1896
2023-12-11 13:00:00,349.0,349.0,346.55,347.0,1358
2023-12-11 13:05:00,347.0,348.0,346.3,348.0,427
2023-12-11 13:10:00,348.0,348.95,348.0,348.95,261
2023-12-11 13:15:00,348.95,349.0,347.0,347.0,473
2023-12-11 13:20:00,347.0,347.0,346.15,347.0,1881
2023-12-11 13:25:00,347.0,347.0,347.0,347.0,549
2023-12-11 13:30:00,347.0,347.0,346.15,347.0,178
2023-12-11 13:35:00,347.0,347.0,346.2,346.2,378
2023-12-11 13:40:00,346.15,347.0,346.05,346.9,573
2023-12-11 13:45:00,346.9,346.9,346.3,346.9,109
2023-12-11 13:50:00,346.9,346.9,346.4,346.9,1980
2023-12-11 13:55:00,346.4,346.9,346.0,346.0,340
2023-12-11 14:00:00,346.9,346.9,346.0,346.9,563
2023-12-11 14:05:00,346.9,346.9,346.1,346.1,169
2023-12-11 14:10:00,346.1,346.9,346.1,346.9,597
2023-12-11 14:15:00,346.9,346.9,346.1,346.1,709
2023-12-11 14:20:00,346.1,346.9,346.0,346.0,776
2023-12-11 14:25:00,346.0,347.0,346.0,347.0,358
2023-12-11 14:30:00,347.0,348.0,346.1,346.15,117
2023-12-11 14:35:00,346.15,348.0,346.0,346.0,849
2023-12-11 14:40:00,348.0,348.0,346.5,348.0,329
2023-12-11 14:45:00,346.5,348.0,346.5,348.0,256
2023-12-11 14:50:00,348.0,348.0,346.2,346.2,223
2023-12-11 14:55:00,347.0,348.0,347.0,347.15,109
2023-12-11 15:00:00,347.15,348.15,347.15,348.15,480
2023-12-11 15:05:00,348.15,348.15,347.2,347.4,298
2023-12-11 15:10:00,347.4,348.0,347.0,348.0,407
2023-12-11 15:15:00,348.0,349.5,347.05,348.0,817
2023-12-11 15:20:00,348.0,349.4,347.05,348.7,140
2023-12-11 15:25:00,347.05,348.7,347.05,348.7,1746
2023-12-12 09:15:00,350.0,350.0,340.0,350.0,2658
2023-12-12 09:20:00,350.0,350.0,344.95,349.5,270
2023-12-12 09:25:00,345.0,349.5,345.0,348.0,248
2023-12-12 09:30:00,348.0,349.45,345.0,345.0,452
2023-12-12 09:35:00,345.0,348.95,344.75,348.45,444
2023-12-12 09:40:00,348.45,348.45,346.05,348.4,174
2023-12-12 09:45:00,348.4,348.4,346.05,348.4,122
2023-12-12 09:50:00,348.4,348.4,347.95,347.95,116
2023-12-12 09:55:00,347.95,347.95,347.0,347.95,210
2023-12-12 10:00:00,347.95,348.45,345.0,348.1,613
2023-12-12 10:05:00,348.1,348.1,345.0,347.9,837
2023-12-12 10:10:00,347.9,347.9,345.0,345.0,1023
2023-12-12 10:15:00,345.0,347.9,344.1,344.1,779
2023-12-12 10:20:00,344.0,345.0,344.0,345.0,648
2023-12-12 10:25:00,345.0,345.0,343.25,344.5,110
2023-12-12 10:30:00,344.5,344.5,343.0,344.5,535
2023-12-12 10:35:00,344.5,344.5,343.0,343.0,356
2023-12-12 10:40:00,343.0,344.5,342.25,344.5,1340
2023-12-12 10:45:00,344.5,344.5,342.5,344.5,89
2023-12-12 10:50:00,344.5,344.5,343.0,344.5,342
2023-12-12 10:55:00,344.5,344.5,342.0,344.5,525
2023-12-12 11:00:00,344.5,344.5,342.0,343.0,176
2023-12-12 11:05:00,343.0,344.0,342.0,342.25,1184
2023-12-12 11:10:00,344.0,344.0,342.25,344.0,85
2023-12-12 11:15:00,344.0,344.0,344.0,344.0,157
2023-12-12 11:20:00,344.0,344.0,343.0,344.0,202
2023-12-12 11:25:00,344.0,344.0,343.0,344.0,366
2023-12-12 11:30:00,344.0,344.0,343.5,343.5,776
2023-12-12 11:35:00,343.5,344.5,342.25,344.5,565
2023-12-12 11:40:00,344.5,347.75,344.5,347.75,1002
2023-12-12 11:45:00,347.75,347.75,344.3,344.3,76
2023-12-12 11:50:00,346.0,347.65,342.0,347.55,456
2023-12-12 11:55:00,347.55,347.55,342.05,346.95,27
2023-12-12 12:00:00,346.95,346.95,346.75,346.75,15
2023-12-12 12:05:00,346.75,346.75,342.0,342.0,468
2023-12-12 12:10:00,345.95,345.95,344.7,344.7,42
2023-12-12 12:15:00,345.95,346.0,342.0,346.0,233
2023-12-12 12:20:00,346.0,346.75,346.0,346.75,47
2023-12-12 12:25:00,346.75,346.75,346.0,346.0,315
2023-12-12 12:30:00,346.0,346.8,345.0,346.8,129
2023-12-12 12:35:00,346.8,346.8,344.0,346.45,142
2023-12-12 12:40:00,346.45,346.45,344.0,345.0,21
2023-12-12 12:45:00,345.0,346.45,345.0,346.45,91
2023-12-12 12:50:00,346.45,346.45,345.05,346.45,161
2023-12-12 12:55:00,346.45,346.45,343.05,343.05,386
2023-12-12 13:00:00,346.4,346.4,342.15,345.0,234
2023-12-12 13:05:00,345.0,345.0,345.0,345.0,25
2023-12-12 13:10:00,345.0,345.0,345.0,345.0,99
2023-12-12 13:15:00,344.0,344.0,343.0,344.0,61
2023-12-12 13:20:00,344.0,346.0,342.0,346.0,649
2023-12-12 13:25:00,346.0,346.0,343.0,345.8,72
2023-12-12 13:30:00,345.8,346.0,343.05,343.1,672
2023-12-12 13:35:00,343.1,345.95,343.1,345.75,19
2023-12-12 13:40:00,345.75,345.75,345.75,345.75,7
2023-12-12 13:45:00,345.75,345.75,343.05,345.75,62
2023-12-12 13:50:00,343.05,346.0,343.05,345.8,191
2023-12-12 13:55:00,346.0,346.0,343.15,346.0,457
2023-12-12 14:00:00,346.0,346.45,346.0,346.3,689
2023-12-12 14:05:00,346.3,346.3,343.0,343.0,835
2023-12-12 14:10:00,343.0,346.3,343.0,346.0,98
2023-12-12 14:15:00,346.0,346.0,342.5,342.5,526
2023-12-12 14:20:00,342.5,345.0,342.0,342.0,642
2023-12-12 14:25:00,345.0,345.0,341.5,345.0,563
2023-12-12 14:30:00,345.0,345.0,342.05,345.0,24
2023-12-12 14:35:00,344.95,344.95,344.0,344.95,53
2023-12-12 14:40:00,344.95,345.0,343.0,345.0,175
2023-12-12 14:45:00,345.0,345.0,342.35,345.0,206
2023-12-12 14:50:00,345.0,345.0,344.0,344.0,59
2023-12-12 14:55:00,343.0,344.0,342.55,344.0,352
2023-12-12 15:00:00,344.0,344.8,342.55,344.8,44
2023-12-12 15:05:00,344.8,344.8,342.55,344.8,298
2023-12-12 15:10:00,344.8,344.8,342.5,342.75,322
2023-12-12 15:15:00,342.5,344.8,342.5,343.8,733
2023-12-12 15:20:00,343.8,344.8,340.0,344.8,5202
2023-12-12 15:25:00,344.8,344.8,342.0,344.8,350
2023-12-13 09:15:00,341.05,344.85,341.0,344.65,307
2023-12-13 09:20:00,344.65,344.65,340.55,343.9,302
2023-12-13 09:25:00,343.9,343.9,340.55,343.25,246
2023-12-13 09:30:00,343.25,343.25,335.5,343.0,3757
2023-12-13 09:35:00,343.0,343.0,340.0,342.9,1180
2023-12-13 09:40:00,342.9,343.4,342.9,343.4,411
2023-12-13 09:45:00,343.4,343.4,335.35,335.35,1320
2023-12-13 09:50:00,335.35,343.4,335.35,339.0,351
2023-12-13 09:55:00,339.0,342.55,336.6,336.6,657
2023-12-13 10:00:00,336.6,341.95,336.6,341.65,742
2023-12-13 10:05:00,341.65,341.65,335.05,340.25,1135
2023-12-13 10:10:00,340.25,340.25,336.0,338.95,217
2023-12-13 10:15:00,338.95,340.0,336.0,338.9,950
2023-12-13 10:20:00,338.9,339.95,335.05,335.05,1632
2023-12-13 10:25:00,339.85,339.85,335.1,339.4,100
2023-12-13 10:30:00,339.4,339.7,336.0,339.7,83
2023-12-13 10:35:00,339.7,339.7,335.15,335.15,790
2023-12-13 10:40:00,339.8,339.8,336.55,336.55,272
2023-12-13 10:45:00,336.55,339.8,336.55,339.75,410
2023-12-13 10:50:00,339.75,339.75,336.55,339.7,133
2023-12-13 10:55:00,339.7,339.7,336.75,336.75,213
2023-12-13 11:00:00,336.75,339.65,336.75,339.6,195
2023-12-13 11:05:00,337.6,339.65,337.6,339.45,188
2023-12-13 11:10:00,339.45,339.45,336.9,338.9,115
2023-12-13 11:15:00,338.9,338.9,336.8,336.8,118
2023-12-13 11:20:00,336.8,338.0,336.8,337.5,199
2023-12-13 11:25:00,337.5,338.0,337.5,337.5,189
2023-12-13 11:30:00,337.5,338.0,337.0,338.0,525
2023-12-13 11:35:00,338.0,338.0,335.15,335.15,1344
2023-12-13 11:40:00,338.0,339.4,336.0,339.0,1832
2023-12-13 11:45:00,339.0,339.0,336.05,336.05,75
2023-12-13 11:50:00,336.05,339.0,335.2,339.0,317
2023-12-13 11:55:00,339.0,339.0,336.05,336.05,57
2023-12-13 12:00:00,336.05,338.0,336.05,338.0,49
2023-12-13 12:05:00,338.0,338.0,335.55,336.0,733
2023-12-13 12:10:00,336.0,338.0,336.0,338.0,461
2023-12-13 12:15:00,338.0,338.9,336.0,336.05,238
2023-12-13 12:20:00,336.05,338.35,336.05,338.0,168
2023-12-13 12:25:00,338.0,338.0,337.0,338.0,58
2023-12-13 12:30:00,338.0,338.0,336.1,338.0,169
2023-12-13 12:35:00,338.0,338.0,336.0,336.0,367
2023-12-13 12:40:00,336.0,338.0,336.0,337.0,341
2023-12-13 12:45:00,337.0,338.0,335.0,338.0,4115
2023-12-13 12:50:00,338.0,338.0,337.95,338.0,271
2023-12-13 12:55:00,338.0,338.05,335.05,337.95,817
2023-12-13 13:00:00,337.95,337.95,335.05,335.05,163
2023-12-13 13:05:00,335.05,338.0,335.05,338.0,98
2023-12-13 13:10:00,338.0,338.0,336.0,336.0,217
2023-12-13 13:15:00,336.0,336.0,335.05,336.0,486
2023-12-13 13:20:00,336.0,336.0,335.1,335.15,185
2023-12-13 13:25:00,335.15,337.95,335.15,337.95,80
2023-12-13 13:30:00,337.95,337.95,337.9,337.95,78
2023-12-13 13:35:00,337.95,337.95,337.7,337.7,209
2023-12-13 13:40:00,337.15,337.7,337.15,337.2,91
2023-12-13 13:45:00,337.2,337.6,337.2,337.6,945
2023-12-13 13:50:00,337.6,337.6,337.25,337.5,106
2023-12-13 13:55:00,337.5,337.6,336.5,336.5,851
2023-12-13 14:00:00,336.5,337.6,335.85,337.6,658
2023-12-13 14:05:00,335.85,337.6,335.0,337.5,2604
2023-12-13 14:10:00,336.0,337.45,335.65,337.45,315
2023-12-13 14:15:00,337.45,337.5,337.45,337.45,535
2023-12-13 14:20:00,337.5,337.5,337.45,337.5,283
2023-12-13 14:25:00,337.5,337.5,337.45,337.5,748
2023-12-13 14:30:00,337.5,337.5,337.45,337.5,73
2023-12-13 14:35:00,337.5,338.05,337.5,338.05,309
2023-12-13 14:40:00,338.05,338.05,336.5,336.5,436
