Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,593.25,599.95,587.6,594.8,5725
2023-12-11 09:20:00,594.8,595.15,590.1,594.65,2180
2023-12-11 09:25:00,594.65,597.85,594.65,595.4,3075
2023-12-11 09:30:00,595.0,596.8,595.0,595.0,789
2023-12-11 09:35:00,595.0,595.45,594.3,595.45,700
2023-12-11 09:40:00,594.55,594.55,588.0,588.05,1486
2023-12-11 09:45:00,588.75,590.0,588.05,589.15,414
2023-12-11 09:50:00,589.15,590.4,588.75,589.7,495
2023-12-11 09:55:00,589.7,592.8,588.75,591.7,816
2023-12-11 10:00:00,591.7,592.95,591.15,592.45,652
2023-12-11 10:05:00,592.45,593.05,591.85,593.05,138
2023-12-11 10:10:00,593.05,593.05,592.0,592.75,600
2023-12-11 10:15:00,592.75,592.75,590.85,591.85,185
2023-12-11 10:20:00,591.85,592.5,591.2,592.5,166
2023-12-11 10:25:00,592.5,594.85,591.85,594.8,776
2023-12-11 10:30:00,594.8,595.0,593.9,594.0,576
2023-12-11 10:35:00,594.0,594.9,593.8,593.8,193
2023-12-11 10:40:00,593.8,594.25,592.25,594.15,706
2023-12-11 10:45:00,594.15,594.15,592.55,593.2,428
2023-12-11 10:50:00,593.2,593.2,592.2,592.2,212
2023-12-11 10:55:00,592.2,605.75,592.2,602.2,8239
2023-12-11 11:00:00,602.2,602.25,598.55,601.3,1279
2023-12-11 11:05:00,601.3,601.3,600.15,600.25,184
2023-12-11 11:10:00,600.25,601.15,600.25,600.6,226
2023-12-11 11:15:00,600.6,600.95,597.95,600.95,1005
2023-12-11 11:20:00,600.95,601.35,598.0,598.0,866
2023-12-11 11:25:00,598.0,598.5,596.55,596.65,947
2023-12-11 11:30:00,596.65,598.4,596.65,597.1,87
2023-12-11 11:35:00,597.1,597.8,597.1,597.35,150
2023-12-11 11:40:00,597.35,597.5,596.55,596.55,29
2023-12-11 11:45:00,596.55,598.0,596.1,598.0,152
2023-12-11 11:50:00,598.0,598.25,596.05,596.8,505
2023-12-11 11:55:00,596.8,598.5,596.8,598.5,115
2023-12-11 12:00:00,598.5,598.5,597.95,598.5,100
2023-12-11 12:05:00,598.5,602.0,597.95,601.2,1335
2023-12-11 12:10:00,600.05,600.95,598.75,599.95,1416
2023-12-11 12:15:00,599.95,600.6,599.05,599.05,223
2023-12-11 12:20:00,599.05,599.95,598.5,598.5,345
2023-12-11 12:25:00,598.5,599.4,598.25,598.25,722
2023-12-11 12:30:00,597.6,598.25,596.15,596.15,551
2023-12-11 12:35:00,596.15,599.0,595.6,599.0,524
2023-12-11 12:40:00,599.0,600.65,599.0,599.55,820
2023-12-11 12:45:00,599.55,600.55,598.0,598.75,1387
2023-12-11 12:50:00,598.75,598.75,598.05,598.05,13
2023-12-11 12:55:00,598.05,598.05,596.2,597.75,669
2023-12-11 13:00:00,597.75,597.9,596.85,597.9,107
2023-12-11 13:05:00,597.9,597.9,596.5,596.5,248
2023-12-11 13:10:00,596.5,596.95,595.05,595.7,1191
2023-12-11 13:15:00,595.7,597.2,595.65,597.2,272
2023-12-11 13:20:00,597.2,597.2,595.85,596.85,130
2023-12-11 13:25:00,596.85,596.85,596.75,596.85,162
2023-12-11 13:30:00,596.85,598.2,596.85,598.0,342
2023-12-11 13:35:00,598.0,598.75,597.55,597.95,388
2023-12-11 13:40:00,597.95,598.75,597.75,598.6,54
2023-12-11 13:45:00,598.6,598.6,598.15,598.5,54
2023-12-11 13:50:00,598.5,598.55,598.5,598.55,75
2023-12-11 13:55:00,598.55,599.05,598.5,598.9,577
2023-12-11 14:00:00,599.4,599.4,597.85,598.65,62
2023-12-11 14:05:00,598.65,598.65,598.5,598.5,50
2023-12-11 14:10:00,598.5,598.95,597.2,597.3,418
2023-12-11 14:15:00,597.3,598.05,596.95,596.95,136
2023-12-11 14:20:00,596.95,597.45,596.45,597.45,142
2023-12-11 14:25:00,597.45,597.65,595.3,596.0,975
2023-12-11 14:30:00,596.0,596.4,594.9,595.15,964
2023-12-11 14:35:00,595.15,595.7,594.6,595.6,168
2023-12-11 14:40:00,595.6,598.45,595.6,598.0,596
2023-12-11 14:45:00,598.0,598.0,597.3,597.3,56
2023-12-11 14:50:00,597.3,597.3,596.15,596.15,44
2023-12-11 14:55:00,596.15,597.0,596.15,597.0,66
2023-12-11 15:00:00,597.0,597.95,596.85,596.9,920
2023-12-11 15:05:00,596.9,596.9,596.0,596.85,471
2023-12-11 15:10:00,596.85,596.9,596.05,596.05,370
2023-12-11 15:15:00,596.05,597.75,595.0,596.1,1812
2023-12-11 15:20:00,596.1,596.5,595.0,595.55,1696
