Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,188.45,189.55,187.55,188.15,2794
2023-12-11 09:20:00,188.85,190.45,188.35,190.05,3512
2023-12-11 09:25:00,190.05,190.1,189.1,189.65,874
2023-12-11 09:30:00,189.65,189.65,189.05,189.3,1288
2023-12-11 09:35:00,189.3,189.45,189.2,189.4,559
2023-12-11 09:40:00,189.4,189.4,187.95,188.3,7436
2023-12-11 09:45:00,188.3,189.05,188.3,189.05,3124
2023-12-11 09:50:00,189.05,189.25,188.8,188.8,722
2023-12-11 09:55:00,188.8,189.7,188.65,189.7,13722
2023-12-11 10:00:00,189.7,189.7,189.0,189.45,898
2023-12-11 10:05:00,189.45,189.5,188.95,189.5,4064
2023-12-11 10:10:00,189.25,189.5,189.25,189.5,479
2023-12-11 10:15:00,189.5,189.7,189.0,189.7,5375
2023-12-11 10:20:00,189.7,189.95,189.2,189.55,7621
2023-12-11 10:25:00,189.55,192.5,189.55,192.5,8807
2023-12-11 10:30:00,192.5,194.35,191.8,194.05,10474
2023-12-11 10:35:00,194.05,194.65,192.35,192.9,8252
2023-12-11 10:40:00,192.9,192.9,191.3,191.3,3000
2023-12-11 10:45:00,191.2,192.0,191.2,192.0,1005
2023-12-11 10:50:00,192.0,193.25,191.5,193.0,4490
2023-12-11 10:55:00,193.0,193.5,192.05,192.05,2134
2023-12-11 11:00:00,192.05,192.95,192.05,192.95,3391
2023-12-11 11:05:00,192.95,193.65,192.95,193.45,10418
2023-12-11 11:10:00,193.5,193.8,193.5,193.5,4194
2023-12-11 11:15:00,193.5,193.5,193.15,193.4,4687
2023-12-11 11:20:00,193.4,193.4,192.5,192.6,3338
2023-12-11 11:25:00,192.6,192.95,192.6,192.6,1071
2023-12-11 11:30:00,192.6,192.6,192.2,192.4,1596
2023-12-11 11:35:00,192.4,193.1,192.25,192.25,1974
2023-12-11 11:40:00,192.25,193.0,192.25,193.0,896
2023-12-11 11:45:00,193.0,193.3,192.7,192.95,1587
2023-12-11 11:50:00,192.95,193.3,192.6,193.3,3522
2023-12-11 11:55:00,193.3,193.7,193.1,193.7,543
2023-12-11 12:00:00,193.6,193.65,193.05,193.05,373
2023-12-11 12:05:00,193.05,197.5,193.05,197.5,29439
2023-12-11 12:10:00,197.5,198.0,194.75,195.45,21205
2023-12-11 12:15:00,195.3,195.85,194.35,195.25,6610
2023-12-11 12:20:00,195.25,195.65,194.8,195.55,1239
2023-12-11 12:25:00,195.1,195.75,192.85,194.1,14303
2023-12-11 12:30:00,194.1,194.1,193.7,193.7,832
2023-12-11 12:35:00,193.7,194.25,193.7,193.7,805
2023-12-11 12:40:00,193.5,193.7,192.55,193.25,3236
2023-12-11 12:45:00,193.25,193.7,193.25,193.3,59
2023-12-11 12:50:00,193.3,194.1,193.3,193.95,363
2023-12-11 12:55:00,193.95,194.45,193.8,193.8,535
2023-12-11 13:00:00,193.8,194.25,193.3,193.8,743
2023-12-11 13:05:00,193.8,193.95,193.25,193.3,1113
2023-12-11 13:10:00,193.3,193.85,193.3,193.3,243
2023-12-11 13:15:00,193.3,193.55,193.25,193.55,794
2023-12-11 13:20:00,193.65,193.65,193.3,193.3,62
2023-12-11 13:25:00,193.3,193.5,193.25,193.5,869
2023-12-11 13:30:00,192.75,193.0,192.75,192.75,9982
2023-12-11 13:35:00,192.75,192.9,192.5,192.7,3548
2023-12-11 13:40:00,192.7,192.7,192.65,192.65,28
