Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,87.9,88.75,87.9,88.6,32988
2023-12-11 09:20:00,88.6,89.25,88.4,89.2,26509
2023-12-11 09:25:00,89.2,89.5,88.7,88.95,27731
2023-12-11 09:30:00,88.95,89.25,88.75,88.95,12074
2023-12-11 09:35:00,89.2,89.2,88.9,89.2,11372
2023-12-11 09:40:00,89.2,89.2,88.6,88.8,7511
2023-12-11 09:45:00,88.8,89.1,88.55,89.0,7879
2023-12-11 09:50:00,89.0,89.25,88.95,89.0,8540
2023-12-11 09:55:00,89.0,89.0,88.7,88.9,5085
2023-12-11 10:00:00,88.9,89.0,88.8,88.85,3421
2023-12-11 10:05:00,88.8,89.0,88.8,88.8,1353
2023-12-11 10:10:00,88.8,88.9,88.55,88.55,4924
2023-12-11 10:15:00,88.55,88.55,88.2,88.3,6350
2023-12-11 10:20:00,88.3,88.3,88.0,88.0,13873
2023-12-11 10:25:00,88.0,88.2,88.0,88.1,948
2023-12-11 10:30:00,88.1,88.1,87.6,87.7,7385
2023-12-11 10:35:00,88.0,88.05,87.7,88.05,7054
2023-12-11 10:40:00,88.05,88.05,87.75,87.75,690
2023-12-11 10:45:00,87.75,87.95,87.4,87.65,9480
2023-12-11 10:50:00,87.75,87.8,87.1,87.5,5497
2023-12-11 10:55:00,87.5,87.65,87.5,87.65,1507
2023-12-11 11:00:00,87.65,87.65,87.25,87.6,10004
2023-12-11 11:05:00,87.65,88.3,87.65,87.9,11668
2023-12-11 11:10:00,87.9,88.25,87.8,88.0,3896
2023-12-11 11:15:00,87.9,88.2,87.9,88.0,3036
2023-12-11 11:20:00,88.0,88.25,88.0,88.2,3875
2023-12-11 11:25:00,88.2,88.2,87.85,88.0,2418
2023-12-11 11:30:00,88.0,88.0,87.8,88.0,1200
2023-12-11 11:35:00,87.8,88.1,87.8,88.1,1350
2023-12-11 11:40:00,87.9,88.6,87.9,88.2,4446
2023-12-11 11:45:00,88.5,88.55,88.3,88.5,2951
2023-12-11 11:50:00,88.5,88.55,88.3,88.5,1878
2023-12-11 11:55:00,88.4,88.7,88.4,88.7,1123
2023-12-11 12:00:00,88.7,88.8,88.6,88.6,1725
2023-12-11 12:05:00,88.6,88.9,88.55,88.9,2721
2023-12-11 12:10:00,88.95,89.2,88.9,88.9,9774
2023-12-11 12:15:00,88.75,88.8,88.4,88.6,2358
2023-12-11 12:20:00,88.6,88.7,88.35,88.55,1180
2023-12-11 12:25:00,88.35,88.55,88.35,88.55,217
2023-12-11 12:30:00,88.55,88.55,88.25,88.25,627
2023-12-11 12:35:00,88.25,88.45,88.2,88.2,1347
2023-12-11 12:40:00,88.2,88.6,88.2,88.6,1280
2023-12-11 12:45:00,88.25,88.35,88.25,88.35,1637
2023-12-11 12:50:00,88.35,88.55,88.25,88.25,1884
2023-12-11 12:55:00,88.55,88.55,88.25,88.55,393
2023-12-11 13:00:00,88.5,89.0,88.05,88.05,10716
2023-12-11 13:05:00,88.05,88.4,88.05,88.4,1434
2023-12-11 13:10:00,88.4,89.5,88.25,89.5,22640
2023-12-11 13:15:00,89.5,89.7,89.35,89.4,4487
2023-12-11 13:20:00,89.4,89.65,89.4,89.45,2465
2023-12-11 13:25:00,89.45,89.8,89.35,89.8,10231
2023-12-11 13:30:00,89.8,90.85,89.55,90.05,39393
2023-12-11 13:35:00,90.05,90.35,89.3,89.4,11375
2023-12-11 13:40:00,89.45,89.45,89.2,89.4,7024
2023-12-11 13:45:00,89.4,89.5,89.05,89.25,5000
2023-12-11 13:50:00,89.25,89.4,89.1,89.2,667
2023-12-11 13:55:00,89.2,90.3,89.15,90.3,18342
2023-12-11 14:00:00,90.3,90.45,90.0,90.4,8410
2023-12-11 14:05:00,90.1,90.35,89.9,90.3,3883
2023-12-11 14:10:00,90.3,90.35,89.85,90.05,10850
