Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,117.25,118.25,117.2,117.9,10787
2023-12-11 09:20:00,117.9,117.9,117.35,117.5,4056
2023-12-11 09:25:00,117.5,117.6,116.85,116.95,2383
2023-12-11 09:30:00,116.95,117.4,116.95,117.4,3055
2023-12-11 09:35:00,117.4,117.4,117.1,117.15,1930
2023-12-11 09:40:00,117.4,117.4,117.15,117.2,1813
2023-12-11 09:45:00,117.2,117.5,117.15,117.5,848
2023-12-11 09:50:00,117.5,117.5,117.2,117.2,1786
2023-12-11 09:55:00,117.2,117.45,117.1,117.4,852
2023-12-11 10:00:00,117.4,117.4,116.7,116.9,4096
2023-12-11 10:05:00,116.9,117.2,116.8,116.85,3132
2023-12-11 10:10:00,117.0,117.0,116.8,117.0,1828
2023-12-11 10:15:00,116.75,116.85,116.55,116.55,807
2023-12-11 10:20:00,116.55,116.75,116.55,116.75,4161
2023-12-11 10:25:00,116.75,117.0,116.75,116.9,754
2023-12-11 10:30:00,116.9,117.0,116.75,116.9,669
2023-12-11 10:35:00,116.9,116.9,116.5,116.6,2059
2023-12-11 10:40:00,116.6,116.65,116.25,116.3,2479
2023-12-11 10:45:00,116.3,116.5,116.3,116.5,2574
2023-12-11 10:50:00,116.5,116.5,116.3,116.35,625
2023-12-11 10:55:00,116.35,116.5,116.35,116.5,158
2023-12-11 11:00:00,116.5,116.5,116.25,116.5,3301
2023-12-11 11:05:00,116.5,116.65,116.4,116.55,2503
2023-12-11 11:10:00,116.55,116.55,116.25,116.55,1176
2023-12-11 11:15:00,116.5,116.85,116.15,116.85,2770
2023-12-11 11:20:00,116.85,116.9,116.55,116.9,2096
2023-12-11 11:25:00,116.9,116.9,116.85,116.9,144
2023-12-11 11:30:00,116.9,116.95,116.7,116.95,867
2023-12-11 11:35:00,116.95,116.95,116.6,116.7,792
2023-12-11 11:40:00,116.7,116.85,116.6,116.6,1391
2023-12-11 11:45:00,116.6,116.7,116.6,116.7,320
2023-12-11 11:50:00,116.7,116.7,116.45,116.7,762
2023-12-11 11:55:00,116.7,116.7,116.45,116.6,234
2023-12-11 12:00:00,116.6,116.6,116.45,116.45,501
2023-12-11 12:05:00,116.5,116.6,116.45,116.6,219
2023-12-11 12:10:00,116.6,116.6,116.45,116.45,113
2023-12-11 12:15:00,116.45,116.45,116.3,116.3,596
2023-12-11 12:20:00,116.4,116.45,116.25,116.45,1034
2023-12-11 12:25:00,116.45,116.55,116.35,116.5,620
2023-12-11 12:30:00,116.5,116.55,116.3,116.55,1084
2023-12-11 12:35:00,116.55,116.55,116.4,116.4,15
2023-12-11 12:40:00,116.4,116.5,116.35,116.5,236
2023-12-11 12:45:00,116.5,116.5,116.2,116.2,2659
2023-12-11 12:50:00,116.45,116.55,116.2,116.4,1471
2023-12-11 12:55:00,116.4,116.4,116.4,116.4,76
2023-12-11 13:00:00,116.4,116.4,116.2,116.4,1126
2023-12-11 13:05:00,116.4,116.4,116.0,116.0,2417
2023-12-11 13:10:00,116.0,116.2,115.85,116.15,6334
2023-12-11 13:15:00,116.15,116.45,116.1,116.45,3803
2023-12-11 13:20:00,116.45,116.65,116.45,116.65,2095
2023-12-11 13:25:00,116.65,116.65,116.15,116.15,4065
2023-12-11 13:30:00,116.15,116.35,116.15,116.35,64
2023-12-11 13:35:00,116.35,116.35,116.2,116.35,116
2023-12-11 13:40:00,116.35,116.35,116.15,116.15,194
2023-12-11 13:45:00,116.15,116.35,116.15,116.35,166
2023-12-11 13:50:00,116.35,116.35,116.1,116.3,178
2023-12-11 13:55:00,116.3,116.3,116.0,116.2,1100
2023-12-11 14:00:00,116.2,116.2,115.85,116.0,1996
2023-12-11 14:05:00,116.0,116.1,115.9,116.1,1143
2023-12-11 14:10:00,116.1,116.2,115.9,115.9,1952
2023-12-11 14:15:00,115.9,116.1,115.9,115.9,238
2023-12-11 14:20:00,115.9,116.1,115.9,116.05,684
2023-12-11 14:25:00,115.8,116.05,115.8,116.05,964
2023-12-11 14:30:00,116.05,116.05,115.5,115.65,6843
2023-12-11 14:35:00,115.7,116.0,115.7,115.75,1866
2023-12-11 14:40:00,115.75,116.35,115.65,116.25,10741
2023-12-11 14:45:00,116.25,116.4,116.25,116.4,1489
2023-12-11 14:50:00,116.4,116.4,116.2,116.4,1025
2023-12-11 14:55:00,116.4,116.4,116.1,116.1,268
2023-12-11 15:00:00,116.15,116.25,116.1,116.25,1560
2023-12-11 15:05:00,116.25,116.5,116.1,116.5,6836
2023-12-11 15:10:00,116.5,116.55,116.2,116.5,7878
2023-12-11 15:15:00,116.5,116.6,116.3,116.5,4732
2023-12-11 15:20:00,116.5,116.5,116.0,116.25,9732
2023-12-11 15:25:00,116.25,116.5,116.1,116.45,8489
2023-12-12 09:15:00,116.0,117.1,116.0,117.0,4466
2023-12-12 09:20:00,117.0,117.45,116.7,117.15,4565
2023-12-12 09:25:00,117.15,117.3,116.7,116.8,3825
2023-12-12 09:30:00,116.8,116.9,116.25,116.8,5450
2023-12-12 09:35:00,116.8,116.8,116.4,116.7,2638
2023-12-12 09:40:00,116.7,116.7,116.55,116.65,538
2023-12-12 09:45:00,116.65,116.75,116.5,116.75,1067
2023-12-12 09:50:00,116.75,116.75,116.35,116.35,1301
2023-12-12 09:55:00,116.5,116.5,115.55,115.9,10340
2023-12-12 10:00:00,115.9,115.9,115.35,115.85,7508
2023-12-12 10:05:00,115.85,116.2,115.5,115.95,10947
2023-12-12 10:10:00,116.0,116.15,115.45,115.7,6819
2023-12-12 10:15:00,115.45,115.7,114.65,114.9,16072
2023-12-12 10:20:00,114.9,115.35,114.5,115.2,6954
2023-12-12 10:25:00,115.2,115.2,114.8,115.0,4519
2023-12-12 10:30:00,115.0,115.3,115.0,115.3,3130
2023-12-12 10:35:00,115.35,116.0,115.35,116.0,6584
2023-12-12 10:40:00,116.0,116.0,115.5,115.5,1070
