Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,156.0,158.4,156.0,158.2,4030
2023-12-11 09:20:00,158.15,158.15,157.55,157.9,1990
2023-12-11 09:25:00,157.9,157.9,157.0,157.2,2815
2023-12-11 09:30:00,157.2,157.45,156.95,157.4,1051
2023-12-11 09:35:00,157.4,157.65,157.0,157.0,1375
2023-12-11 09:40:00,157.0,157.6,156.75,156.75,2326
2023-12-11 09:45:00,156.75,156.9,156.75,156.8,1889
2023-12-11 09:50:00,156.6,157.0,156.55,156.85,1575
2023-12-11 09:55:00,156.85,157.0,156.55,156.6,686
2023-12-11 10:00:00,156.6,157.0,156.6,157.0,452
2023-12-11 10:05:00,157.0,157.1,156.8,157.05,169
2023-12-11 10:10:00,157.05,157.05,156.7,156.75,210
2023-12-11 10:15:00,156.75,157.0,156.7,156.8,157
2023-12-11 10:20:00,156.8,156.95,156.8,156.8,106
2023-12-11 10:25:00,156.8,156.95,156.75,156.75,393
2023-12-11 10:30:00,156.95,156.95,156.7,156.7,2037
2023-12-11 10:35:00,156.95,156.95,156.7,156.95,1081
2023-12-11 10:40:00,156.95,156.95,156.05,156.45,3156
2023-12-11 10:45:00,156.45,156.75,156.45,156.75,491
2023-12-11 10:50:00,156.75,156.8,156.5,156.65,457
2023-12-11 10:55:00,156.65,159.45,156.6,159.05,12300
2023-12-11 11:00:00,159.05,160.95,159.05,160.95,13438
2023-12-11 11:05:00,160.7,161.0,158.15,158.5,14502
2023-12-11 11:10:00,158.5,158.5,158.3,158.3,286
2023-12-11 11:15:00,158.3,158.75,157.65,157.65,1773
2023-12-11 11:20:00,157.65,158.0,157.65,158.0,143
2023-12-11 11:25:00,158.05,158.2,157.9,157.9,276
2023-12-11 11:30:00,157.75,157.85,157.55,157.85,1135
2023-12-11 11:35:00,157.85,158.35,157.85,158.05,1464
2023-12-11 11:40:00,158.05,158.55,158.0,158.5,2835
2023-12-11 11:45:00,158.5,158.65,158.1,158.65,896
2023-12-11 11:50:00,158.65,158.75,158.35,158.35,1333
2023-12-11 11:55:00,158.9,158.9,158.3,158.55,810
2023-12-11 12:00:00,158.55,158.95,158.5,158.5,1249
2023-12-11 12:05:00,158.5,158.5,158.0,158.5,3539
2023-12-11 12:10:00,158.5,158.5,158.05,158.05,796
2023-12-11 12:15:00,158.05,158.5,158.05,158.5,149
2023-12-11 12:20:00,158.5,158.5,158.25,158.25,10
2023-12-11 12:25:00,158.25,158.5,158.25,158.5,294
2023-12-11 12:30:00,158.5,158.9,158.2,158.9,1677
2023-12-11 12:35:00,158.9,158.9,158.6,158.6,2134
2023-12-11 12:40:00,158.6,158.85,158.6,158.85,147
2023-12-11 12:45:00,158.85,158.9,158.65,158.7,104
