Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,242.8,243.9,242.8,243.6,1447
2023-12-11 09:20:00,243.6,243.6,242.3,243.0,2454
2023-12-11 09:25:00,243.0,243.0,242.35,242.7,927
2023-12-11 09:30:00,242.7,246.7,242.45,246.0,5892
2023-12-11 09:35:00,246.0,246.45,245.75,246.0,584
2023-12-11 09:40:00,246.0,246.0,243.2,243.2,811
2023-12-11 09:45:00,243.2,243.2,242.5,242.7,1882
2023-12-11 09:50:00,242.7,243.75,242.7,243.5,1506
2023-12-11 09:55:00,243.5,243.7,243.5,243.65,583
2023-12-11 10:00:00,243.65,243.65,243.0,243.05,1625
2023-12-11 10:05:00,243.05,243.95,243.05,243.45,741
2023-12-11 10:10:00,243.45,243.55,243.3,243.4,233
2023-12-11 10:15:00,243.4,243.4,243.0,243.0,1969
2023-12-11 10:20:00,243.0,243.35,243.0,243.05,253
2023-12-11 10:25:00,243.05,243.3,242.7,243.0,1335
2023-12-11 10:30:00,243.0,244.0,243.0,244.0,1735
2023-12-11 10:35:00,244.0,244.0,243.0,243.0,1422
2023-12-11 10:40:00,243.4,245.35,243.4,244.55,1964
2023-12-11 10:45:00,244.55,244.8,244.35,244.35,305
2023-12-11 10:50:00,244.95,244.95,244.15,244.15,499
2023-12-11 10:55:00,244.15,244.4,244.0,244.0,287
2023-12-11 11:00:00,244.0,244.4,244.0,244.2,101
2023-12-11 11:05:00,245.15,245.15,244.6,244.6,763
2023-12-11 11:10:00,244.6,244.6,244.6,244.6,200
2023-12-11 11:15:00,244.6,244.7,244.6,244.6,265
2023-12-11 11:20:00,245.0,245.0,244.8,245.0,820
2023-12-11 11:25:00,245.0,245.0,245.0,245.0,21
2023-12-11 11:30:00,245.0,245.0,244.65,244.65,544
2023-12-11 11:35:00,244.6,244.95,244.6,244.6,176
2023-12-11 11:40:00,244.6,244.95,244.5,244.9,771
2023-12-11 11:45:00,244.9,244.95,244.25,244.6,907
2023-12-11 11:50:00,244.6,244.6,244.2,244.2,396
2023-12-11 11:55:00,244.2,244.2,243.45,243.55,1038
2023-12-11 12:00:00,243.35,243.95,243.05,243.05,1936
2023-12-11 12:05:00,243.05,243.2,243.0,243.2,318
2023-12-11 12:10:00,243.2,243.2,242.85,243.2,1118
2023-12-11 12:15:00,243.2,243.2,242.85,242.9,1551
2023-12-11 12:20:00,242.0,242.5,242.0,242.5,1607
2023-12-11 12:25:00,242.5,242.8,242.5,242.5,121
2023-12-11 12:30:00,242.5,243.5,242.5,243.05,1900
2023-12-11 12:35:00,243.05,243.5,243.05,243.1,202
2023-12-11 12:40:00,243.1,243.5,243.1,243.5,315
2023-12-11 12:45:00,243.5,243.5,243.15,243.15,45
2023-12-11 12:50:00,243.15,243.5,243.05,243.5,1254
2023-12-11 12:55:00,243.5,243.65,243.5,243.65,7224
2023-12-11 13:00:00,243.65,243.65,243.0,243.0,817
2023-12-11 13:05:00,243.0,243.35,243.0,243.35,207
2023-12-11 13:10:00,243.0,243.0,243.0,243.0,625
2023-12-11 13:15:00,243.0,243.55,243.0,243.55,500
2023-12-11 13:20:00,243.55,243.75,243.35,243.35,117
2023-12-11 13:25:00,243.35,243.35,243.35,243.35,0
2023-12-11 13:30:00,243.65,243.65,243.65,243.65,3
2023-12-11 13:35:00,243.65,243.65,243.5,243.5,4
2023-12-11 13:40:00,243.25,244.0,243.25,244.0,2050
2023-12-11 13:45:00,244.0,244.15,243.4,243.4,574
2023-12-11 13:50:00,243.4,243.45,243.3,243.3,302
2023-12-11 13:55:00,243.3,243.5,243.3,243.5,50
2023-12-11 14:00:00,243.5,243.6,243.0,243.0,1070
2023-12-11 14:05:00,243.0,243.0,243.0,243.0,0
2023-12-11 14:10:00,243.0,243.3,243.0,243.3,90
2023-12-11 14:15:00,243.3,243.3,242.95,242.95,370
2023-12-11 14:20:00,242.95,242.95,242.95,242.95,100
2023-12-11 14:25:00,242.95,242.95,242.75,242.9,235
2023-12-11 14:30:00,242.9,242.9,242.4,242.65,315
2023-12-11 14:35:00,242.65,242.8,242.05,242.05,1863
2023-12-11 14:40:00,242.05,242.9,242.0,242.7,1891
2023-12-11 14:45:00,242.55,243.25,242.55,243.25,270
2023-12-11 14:50:00,242.85,242.95,242.85,242.9,99
2023-12-11 14:55:00,242.95,245.0,242.95,243.45,10305
2023-12-11 15:00:00,243.55,244.95,243.4,243.55,3335
2023-12-11 15:05:00,243.55,244.15,242.9,242.95,1554
2023-12-11 15:10:00,242.95,244.45,242.95,244.45,2431
2023-12-11 15:15:00,244.45,246.5,243.8,244.6,3323
2023-12-11 15:20:00,244.6,244.6,243.05,243.05,1448
2023-12-11 15:25:00,243.05,244.25,242.5,244.0,3535
2023-12-12 09:15:00,243.0,245.45,243.0,244.35,5189
2023-12-12 09:20:00,244.35,244.35,243.55,244.25,1752
2023-12-12 09:25:00,244.25,244.25,243.6,243.6,833
2023-12-12 09:30:00,243.6,244.15,243.0,243.0,1493
