Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,169.45,171.0,169.25,170.55,7274
2023-12-11 09:20:00,170.55,170.55,169.5,169.5,3204
2023-12-11 09:25:00,169.5,170.15,169.5,170.0,2819
2023-12-11 09:30:00,170.0,170.0,169.5,170.0,1258
2023-12-11 09:35:00,170.2,170.2,168.55,169.2,9656
2023-12-11 09:40:00,169.2,169.2,168.6,168.6,811
2023-12-11 09:45:00,168.6,169.0,168.2,168.5,5052
2023-12-11 09:50:00,168.5,169.05,168.5,169.05,310
2023-12-11 09:55:00,169.05,169.05,168.65,168.7,660
2023-12-11 10:00:00,168.7,169.25,168.7,169.15,841
2023-12-11 10:05:00,169.15,169.3,168.5,168.5,1641
2023-12-11 10:10:00,168.5,168.5,166.9,167.0,7464
2023-12-11 10:15:00,167.0,167.35,166.5,167.1,6477
2023-12-11 10:20:00,167.1,167.95,167.1,167.55,3376
2023-12-11 10:25:00,167.55,167.9,167.55,167.85,1119
2023-12-11 10:30:00,167.85,168.05,167.7,167.7,971
2023-12-11 10:35:00,167.7,167.95,167.5,167.8,3099
2023-12-11 10:40:00,167.8,167.8,167.25,167.5,1981
2023-12-11 10:45:00,167.5,167.5,166.9,167.35,2505
2023-12-11 10:50:00,167.35,167.35,166.2,166.3,5150
2023-12-11 10:55:00,166.3,167.3,166.3,167.3,5994
2023-12-11 11:00:00,167.3,167.5,167.05,167.05,2819
2023-12-11 11:05:00,167.05,167.55,167.05,167.5,1472
2023-12-11 11:10:00,167.5,167.5,167.05,167.1,219
2023-12-11 11:15:00,167.1,167.5,167.1,167.4,795
2023-12-11 11:20:00,167.4,167.8,167.4,167.7,1955
2023-12-11 11:25:00,167.7,167.7,167.2,167.2,1146
2023-12-11 11:30:00,167.2,167.45,167.05,167.05,839
2023-12-11 11:35:00,167.05,167.3,166.8,167.3,2655
2023-12-11 11:40:00,167.3,167.3,166.8,166.8,625
2023-12-11 11:45:00,166.8,166.8,166.8,166.8,407
2023-12-11 11:50:00,166.7,166.8,166.0,166.2,6997
2023-12-11 11:55:00,166.2,166.5,166.15,166.2,2492
2023-12-11 12:00:00,166.2,166.45,166.05,166.05,1830
2023-12-11 12:05:00,166.05,166.4,165.75,165.95,4620
2023-12-11 12:10:00,165.95,166.3,165.75,166.3,582
2023-12-11 12:15:00,166.3,166.3,165.8,166.2,1899
