Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,37.26,37.37,37.07,37.3,46280
2023-12-11 09:20:00,37.26,37.33,37.1,37.26,39040
2023-12-11 09:25:00,37.26,37.39,37.17,37.21,30380
2023-12-11 09:30:00,37.21,37.21,37.0,37.12,49030
2023-12-11 09:35:00,37.12,37.19,37.02,37.1,12180
2023-12-11 09:40:00,37.1,37.1,36.85,37.0,16080
2023-12-11 09:45:00,36.98,37.01,36.92,37.01,9930
2023-12-11 09:50:00,37.01,37.05,36.9,36.99,23930
2023-12-11 09:55:00,36.99,36.99,36.91,36.95,2130
2023-12-11 10:00:00,36.95,37.02,36.95,36.95,10860
2023-12-11 10:05:00,36.95,37.01,36.76,36.92,74370
2023-12-11 10:10:00,36.92,37.2,36.92,37.2,22320
2023-12-11 10:15:00,37.21,37.23,37.12,37.17,3490
2023-12-11 10:20:00,37.1,37.4,37.01,37.27,215410
2023-12-11 10:25:00,37.27,37.3,37.21,37.28,8260
2023-12-11 10:30:00,37.28,37.28,37.22,37.28,2860
2023-12-11 10:35:00,37.21,37.29,37.2,37.2,4910
2023-12-11 10:40:00,37.2,37.2,37.01,37.01,7490
2023-12-11 10:45:00,36.94,37.05,36.94,36.95,8470
2023-12-11 10:50:00,36.95,37.03,36.67,36.67,64410
2023-12-11 10:55:00,36.67,36.94,36.67,36.84,13140
2023-12-11 11:00:00,36.78,36.85,36.78,36.81,3930
2023-12-11 11:05:00,36.83,37.16,36.78,36.78,113640
2023-12-11 11:10:00,36.78,36.84,36.71,36.84,6110
2023-12-11 11:15:00,36.84,36.91,36.67,36.72,17590
2023-12-11 11:20:00,36.8,36.82,36.72,36.72,7060
2023-12-11 11:25:00,36.72,36.79,36.7,36.7,9250
2023-12-11 11:30:00,36.7,36.78,36.67,36.7,4270
2023-12-11 11:35:00,36.76,36.76,36.71,36.76,2100
2023-12-11 11:40:00,36.71,36.79,36.71,36.72,4380
2023-12-11 11:45:00,36.72,36.72,36.72,36.72,300
2023-12-11 11:50:00,36.72,36.78,36.72,36.78,5560
2023-12-11 11:55:00,36.78,36.84,36.78,36.83,2690
2023-12-11 12:00:00,36.83,36.92,36.76,36.89,15680
2023-12-11 12:05:00,36.89,36.95,36.84,36.94,4030
2023-12-11 12:10:00,36.94,36.94,36.94,36.94,110
2023-12-11 12:15:00,36.87,36.93,36.81,36.82,6800
2023-12-11 12:20:00,36.8,36.86,36.8,36.86,1440
2023-12-11 12:25:00,36.86,36.86,36.8,36.8,770
2023-12-11 12:30:00,36.8,36.86,36.8,36.81,1750
2023-12-11 12:35:00,36.81,36.81,36.81,36.81,0
2023-12-11 12:40:00,36.81,36.86,36.8,36.8,4820
2023-12-11 12:45:00,36.8,36.81,36.8,36.81,1830
2023-12-11 12:50:00,36.81,36.85,36.78,36.78,12870
2023-12-11 12:55:00,36.78,36.78,36.75,36.75,2000
2023-12-11 13:00:00,36.75,36.83,36.75,36.83,20830
2023-12-11 13:05:00,36.83,36.83,36.83,36.83,0
2023-12-11 13:10:00,36.83,36.83,36.76,36.83,2060
2023-12-11 13:15:00,36.83,36.83,36.76,36.76,1910
2023-12-11 13:20:00,36.76,36.82,36.74,36.74,8480
2023-12-11 13:25:00,36.74,36.82,36.74,36.8,1050
2023-12-11 13:30:00,36.8,36.8,36.68,36.71,15830
2023-12-11 13:35:00,36.71,36.78,36.7,36.75,2450
2023-12-11 13:40:00,36.75,36.81,36.7,36.81,8720
2023-12-11 13:45:00,36.81,36.92,36.76,36.92,8590
2023-12-11 13:50:00,36.92,36.92,36.85,36.9,5500
2023-12-11 13:55:00,36.9,36.98,36.81,36.98,8340
2023-12-11 14:00:00,36.98,36.98,36.9,36.9,700
2023-12-11 14:05:00,37.01,37.03,37.0,37.03,8480
2023-12-11 14:10:00,37.06,37.06,36.91,36.91,2340
2023-12-11 14:15:00,36.91,36.98,36.91,36.98,170
