Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,615.0,619.4,614.65,618.0,755911
2023-12-11 09:20:00,617.95,618.2,616.05,617.85,462651
2023-12-11 09:25:00,617.85,618.0,614.7,614.8,345523
2023-12-11 09:30:00,615.0,617.0,613.1,616.9,344116
2023-12-11 09:35:00,616.65,619.2,616.45,618.65,325882
2023-12-11 09:40:00,618.65,618.95,616.7,617.1,259774
2023-12-11 09:45:00,617.1,617.8,616.8,617.35,122005
2023-12-11 09:50:00,617.35,617.55,616.9,617.1,105683
2023-12-11 09:55:00,617.1,618.5,616.8,617.85,233926
2023-12-11 10:00:00,617.85,618.4,617.0,617.4,210934
2023-12-11 10:05:00,617.4,617.6,616.55,617.1,191718
2023-12-11 10:10:00,617.4,617.6,616.75,617.15,135544
2023-12-11 10:15:00,617.25,617.5,616.75,617.15,143090
2023-12-11 10:20:00,616.85,618.5,616.85,618.2,274743
2023-12-11 10:25:00,618.05,619.35,617.8,619.15,323858
2023-12-11 10:30:00,619.2,619.85,618.0,618.05,342213
2023-12-11 10:35:00,618.05,618.8,617.05,617.05,131916
2023-12-11 10:40:00,617.05,617.1,615.1,615.8,341904
2023-12-11 10:45:00,615.65,616.35,615.65,616.0,179046
2023-12-11 10:50:00,616.0,616.0,614.2,615.2,344054
2023-12-11 10:55:00,615.35,616.4,615.2,615.6,150581
2023-12-11 11:00:00,615.55,616.8,615.25,615.95,85207
2023-12-11 11:05:00,616.0,616.7,615.85,616.2,57239
2023-12-11 11:10:00,616.05,616.5,615.6,615.95,72149
2023-12-11 11:15:00,615.85,616.25,615.5,615.95,66394
2023-12-11 11:20:00,616.0,616.1,615.2,616.0,77699
2023-12-11 11:25:00,616.0,616.1,615.1,615.2,134461
2023-12-11 11:30:00,615.2,615.45,614.1,615.3,343289
2023-12-11 11:35:00,615.3,615.8,615.0,615.0,54675
2023-12-11 11:40:00,615.0,615.7,615.0,615.45,59055
2023-12-11 11:45:00,615.5,615.65,615.1,615.15,85203
2023-12-11 11:50:00,615.3,615.5,614.2,614.45,73004
2023-12-11 11:55:00,614.4,615.0,614.3,614.8,217944
2023-12-11 12:00:00,614.85,615.0,614.4,614.5,74614
2023-12-11 12:05:00,614.5,615.1,614.4,615.0,110817
2023-12-11 12:10:00,615.0,615.45,614.75,615.2,77797
2023-12-11 12:15:00,615.3,615.3,614.7,615.05,45588
2023-12-11 12:20:00,615.05,615.3,614.95,615.2,41797
2023-12-11 12:25:00,615.15,615.45,614.85,614.9,85556
2023-12-11 12:30:00,614.9,615.0,614.5,614.7,48458
2023-12-11 12:35:00,614.7,615.1,613.55,614.95,204250
2023-12-11 12:40:00,615.0,615.15,614.5,614.95,45665
2023-12-11 12:45:00,614.95,615.15,614.55,614.75,45208
2023-12-11 12:50:00,614.75,614.85,614.05,614.6,90244
2023-12-11 12:55:00,614.6,615.0,614.25,615.0,54651
2023-12-11 13:00:00,614.9,615.25,614.7,615.1,76422
2023-12-11 13:05:00,615.15,615.4,614.85,615.2,64414
2023-12-11 13:10:00,615.2,615.7,614.95,615.45,82449
2023-12-11 13:15:00,615.4,615.6,615.0,615.35,63188
2023-12-11 13:20:00,615.15,615.7,615.0,615.65,60146
2023-12-11 13:25:00,615.65,615.7,615.05,615.2,78820
2023-12-11 13:30:00,615.2,615.45,614.75,615.2,78032
2023-12-11 13:35:00,615.05,615.35,614.7,614.7,81397
2023-12-11 13:40:00,614.8,615.5,614.6,615.15,87169
2023-12-11 13:45:00,615.15,615.45,614.9,615.0,63204
2023-12-11 13:50:00,615.15,615.4,615.0,615.4,124420
2023-12-11 13:55:00,615.4,615.65,615.0,615.3,98176
2023-12-11 14:00:00,615.15,615.7,615.0,615.6,93665
