Date,Open,High,Low,Close,Volume
2023-12-11 09:15:00,94.0,95.95,93.65,95.95,439306
2023-12-11 09:20:00,95.9,96.15,95.15,95.85,974434
2023-12-11 09:25:00,95.8,96.15,95.05,96.15,639806
2023-12-11 09:30:00,96.2,96.45,95.75,95.9,297422
2023-12-11 09:35:00,95.9,96.5,95.9,96.4,305493
2023-12-11 09:40:00,96.4,96.9,95.8,95.85,561585
2023-12-11 09:45:00,95.8,96.4,95.7,96.05,293113
2023-12-11 09:50:00,96.05,96.5,95.85,96.0,166401
2023-12-11 09:55:00,95.9,96.25,95.8,96.25,150172
2023-12-11 10:00:00,96.25,97.1,95.8,95.95,756813
2023-12-11 10:05:00,95.95,96.3,95.75,96.15,146923
2023-12-11 10:10:00,96.15,96.8,96.0,96.75,197636
2023-12-11 10:15:00,96.8,97.1,96.6,96.75,572201
2023-12-11 10:20:00,96.7,96.9,95.3,95.4,555051
2023-12-11 10:25:00,95.45,95.5,95.05,95.15,38149
2023-12-11 10:30:00,95.1,95.15,94.7,94.9,90813
2023-12-11 10:35:00,94.9,94.95,94.6,94.75,47889
2023-12-11 10:40:00,94.75,95.5,94.6,95.45,131594
2023-12-11 10:45:00,95.5,95.5,95.15,95.5,111445
2023-12-11 10:50:00,95.5,95.85,95.25,95.45,193570
2023-12-11 10:55:00,95.55,95.7,95.3,95.45,116664
2023-12-11 11:00:00,95.4,95.65,95.15,95.65,38152
2023-12-11 11:05:00,95.65,96.0,95.1,95.25,346874
2023-12-11 11:10:00,95.25,95.25,95.2,95.25,56712
2023-12-11 11:15:00,95.25,95.45,95.1,95.45,26976
2023-12-11 11:20:00,95.45,95.5,95.35,95.4,16119
2023-12-11 11:25:00,95.45,95.5,95.2,95.45,62853
2023-12-11 11:30:00,95.45,95.45,95.25,95.3,17959
2023-12-11 11:35:00,95.3,95.5,95.25,95.25,2624
2023-12-11 11:40:00,95.25,95.5,95.25,95.45,22337
2023-12-11 11:45:00,95.45,95.9,95.2,95.85,57790
2023-12-11 11:50:00,95.85,95.9,95.55,95.9,69983
2023-12-11 11:55:00,95.9,95.9,95.6,95.6,11538
2023-12-11 12:00:00,95.75,96.5,95.75,96.45,238624
2023-12-11 12:05:00,96.45,97.0,96.4,97.0,253923
2023-12-11 12:10:00,97.0,97.0,96.65,96.9,157021
2023-12-11 12:15:00,96.85,97.1,96.6,97.1,186919
2023-12-11 12:20:00,97.1,97.15,96.9,97.1,61636
2023-12-11 12:25:00,97.1,97.15,96.9,96.9,57801
2023-12-11 12:30:00,96.9,97.5,96.8,97.5,216093
2023-12-11 12:35:00,97.5,97.55,96.35,96.4,230487
2023-12-11 12:40:00,96.4,96.7,95.8,95.85,310084
2023-12-11 12:45:00,96.0,96.15,95.8,96.0,92641
2023-12-11 12:50:00,96.0,96.5,95.85,96.0,46488
2023-12-11 12:55:00,96.0,96.0,95.8,96.0,18107
2023-12-11 13:00:00,96.0,96.2,95.9,96.2,45866
2023-12-11 13:05:00,96.2,96.2,96.05,96.05,8395
2023-12-11 13:10:00,96.05,96.1,95.8,96.05,15751
2023-12-11 13:15:00,96.05,96.05,95.75,95.9,6845
2023-12-11 13:20:00,95.9,96.6,95.85,96.55,103335
2023-12-11 13:25:00,96.5,96.9,96.2,96.35,148084
2023-12-11 13:30:00,96.35,97.4,96.3,96.85,274260
2023-12-11 13:35:00,96.85,97.5,96.65,97.4,99926
2023-12-11 13:40:00,97.4,97.45,96.8,96.95,90674
2023-12-11 13:45:00,96.95,97.15,96.8,97.0,72159
2023-12-11 13:50:00,96.85,97.0,96.0,96.15,117007
2023-12-11 13:55:00,96.15,96.2,95.7,95.7,180512
2023-12-11 14:00:00,95.7,96.0,95.65,95.95,61961
2023-12-11 14:05:00,95.9,96.2,95.85,95.95,80521
2023-12-11 14:10:00,95.95,96.1,95.75,95.9,46208
2023-12-11 14:15:00,95.9,96.0,95.8,95.9,30218
2023-12-11 14:20:00,95.9,96.0,95.75,95.8,16484
2023-12-11 14:25:00,95.8,95.9,95.7,95.7,11306
2023-12-11 14:30:00,95.65,95.9,95.65,95.8,21331
2023-12-11 14:35:00,95.8,96.45,95.7,96.15,89323
